month,day,year,candy.sales
1,1,1997,101014
2,1,1997,101938
3,1,1997,136057
4,1,1997,105601
5,1,1997,119123
6,1,1997,107689
7,1,1997,113399
8,1,1997,113934
9,1,1997,109441
10,1,1997,146876
11,1,1997,145143
12,1,1997,209852
1,1,1998,111027
2,1,1998,110346
3,1,1998,121430
4,1,1998,135767
5,1,1998,117066
6,1,1998,113067
7,1,1998,119865
8,1,1998,119383
9,1,1998,121100
10,1,1998,173437
11,1,1998,143030
12,1,1998,222091
1,1,1999,113000
2,1,1999,119185
3,1,1999,146206
4,1,1999,123897
5,1,1999,121429
6,1,1999,117277
7,1,1999,126207
8,1,1999,116910
9,1,1999,126248
10,1,1999,167978
11,1,1999,152590
12,1,1999,236283
1,1,2000,113413
2,1,2000,121559
3,1,2000,133607
4,1,2000,161752
5,1,2000,121368
6,1,2000,126892
7,1,2000,130847
8,1,2000,130621
9,1,2000,146319
10,1,2000,184134
11,1,2000,176327
12,1,2000,265516
1,1,2001,118164
2,1,2001,133969
3,1,2001,159834
4,1,2001,165617
5,1,2001,138098
6,1,2001,141284
7,1,2001,136828
8,1,2001,142729
9,1,2001,150628
10,1,2001,200393
11,1,2001,180363
12,1,2001,266298
1,1,2002,126772
2,1,2002,143541
3,1,2002,189721
4,1,2002,147434
5,1,2002,153722
6,1,2002,148783
7,1,2002,150208
8,1,2002,161712
9,1,2002,160298
10,1,2002,221424
11,1,2002,201019
12,1,2002,282873
1,1,2003,145756
2,1,2003,151715
3,1,2003,172136
4,1,2003,194513
5,1,2003,161349
6,1,2003,151241
7,1,2003,157515
8,1,2003,161760
9,1,2003,165589
10,1,2003,232763
11,1,2003,212574
12,1,2003,294985
1,1,2004,157467
2,1,2004,166448
3,1,2004,181720
4,1,2004,203189
5,1,2004,172237
6,1,2004,168505
7,1,2004,181838
8,1,2004,168632
9,1,2004,179783
10,1,2004,250353
11,1,2004,210009
12,1,2004,312093
1,1,2005,160732
2,1,2005,171924
3,1,2005,222721
4,1,2005,174973
5,1,2005,172320
6,1,2005,175114
7,1,2005,186202
8,1,2005,182189
9,1,2005,196624
10,1,2005,259294
11,1,2005,226502
12,1,2005,347609
1,1,2006,169527
2,1,2006,184856
3,1,2006,202117
4,1,2006,222672
5,1,2006,184655
6,1,2006,187222
7,1,2006,190097
8,1,2006,192495
9,1,2006,211587
10,1,2006,265991
11,1,2006,231848
12,1,2006,374095
1,1,2007,179664
2,1,2007,198698
3,1,2007,223997
4,1,2007,236503
5,1,2007,210991
6,1,2007,209280
7,1,2007,206533
8,1,2007,225150
9,1,2007,239896
10,1,2007,285396
11,1,2007,258344
12,1,2007,380125
1,1,2008,199736
2,1,2008,218219
3,1,2008,254226
4,1,2008,217232
5,1,2008,231244
6,1,2008,217287
7,1,2008,229109
8,1,2008,243457
9,1,2008,254263
10,1,2008,316917
11,1,2008,285382
12,1,2008,393989
1,1,2009,235139
2,1,2009,234992
3,1,2009,255943
4,1,2009,285731
5,1,2009,260985
6,1,2009,244519
7,1,2009,262850
8,1,2009,252723
9,1,2009,266636
10,1,2009,356940
11,1,2009,287256
12,1,2009,423495
1,1,2010,204573
2,1,2010,208457
3,1,2010,238870
4,1,2010,243528
5,1,2010,225707
6,1,2010,226592
7,1,2010,246218
8,1,2010,235552
9,1,2010,252794
10,1,2010,321785
11,1,2010,279266
12,1,2010,415479
1,1,2011,210197
2,1,2011,224362
3,1,2011,246568
4,1,2011,313300
5,1,2011,232058
6,1,2011,235180
7,1,2011,247559
8,1,2011,234576
9,1,2011,255597
10,1,2011,355882
11,1,2011,293209
12,1,2011,465329
1,1,2012,213551
2,1,2012,248337
3,1,2012,278957
4,1,2012,286311
5,1,2012,248163
6,1,2012,248708
7,1,2012,243947
8,1,2012,252203
9,1,2012,259869
10,1,2012,360949
11,1,2012,299782
12,1,2012,448483
1,1,2013,220530
2,1,2013,244631
3,1,2013,316514
4,1,2013,265476
5,1,2013,265582
6,1,2013,254914
7,1,2013,256688
8,1,2013,268820
9,1,2013,261250
10,1,2013,381189
11,1,2013,318181
12,1,2013,450866
1,1,2014,238602
2,1,2014,258242
3,1,2014,273361
4,1,2014,335083
5,1,2014,276648
6,1,2014,260987
7,1,2014,272681
8,1,2014,279793
9,1,2014,279632
10,1,2014,397731
11,1,2014,329971
12,1,2014,460810
1,1,2015,260239
2,1,2015,264373
3,1,2015,301974
4,1,2015,312314
5,1,2015,290290
6,1,2015,277175
7,1,2015,293900
8,1,2015,284266
9,1,2015,297742
10,1,2015,418816
11,1,2015,340335
12,1,2015,478511
