,4 Weeks Ending,12 Weeks Ending,52 Weeks Ending
TOTAL CANDY & GUM,350628400,1278132000,4890105000
CHOCOLATE CANDY BAR small,43156840,139859500,611069300
CHOCOLATE CANDY BOX/BAG/BAR large,86817050,275500100,1191622000
CHOCOLATE CANDY SNACK SIZE,27130450,216896100,385416600
GIFT BOX CHOCOLATES,6768055,12096580,67816070
NOVELTY CHOCOLATE CANDY,44349.28,125770.8,1161642
SEASONAL CHOCOLATE AO SEASONAL CANDY,241349.1,299826.7,2677197
SEASONAL CHOCOLATE CHRISTMAS CANDY,26911570,28124550,134164000
SEASONAL CHOCOLATE EASTER CANDY,32317.45,97594.58,188327300
SEASONAL CHOCOLATE HALLOWEEN CANDY,5036848,42079980,45455340
SEASONAL CHOCOLATE VALENTINE CANDY,229006.7,715323.7,106247900
SUGAR FREE CHOCOLATE CANDY,2386921,7350372,35441820
CATEGORY - TOTAL CHOCOLATE CANDY,198754800,723145700,2769399000
BREATH FRESHENER,10095020,31079670,132577000
CARAMEL/TAFFY APPLES/KITS/DIPS,6246003,38172780,61314710
HARD SUGAR CANDY/PKG & ROLL CANDY,8202313,33807610,121648500
LICORICE BOX/BAG,7114595,25768970,125500800
NON CHOCOLATE CHEWY CANDY,28211250,108968500,441416600
NOVELTY NON-CHOCOLATE CANDY,8859658,46637780,140536400
PLAIN MINTS,5784072,17224250,73897790
PLU - ALL BRANDS CANDY,2687.89,5624.638,15373.36
SEASONAL NON-CHOCOLATE AO SEASONL CANDY,29808.52,83578.61,1754027
SEASONAL NON-CHOCOLATE CHRISTMAS CANDY,7781165,8647987,40281180
SEASONAL NON-CHOCOLATE EASTER CANDY,91266.55,337144.9,42866070
SEASONAL NON-CHOCOLATE HALLOWEEN CANDY,3009039,41565540,44925160
SEASONAL NON-CHOCOLATE VALENTINE CANDY,82575.91,209038,24834090
SPECIALTY NUT/COCONUT CANDY,4598492,13903150,51728470
SUGAR FREE DIET CANDY,2501243,7689722,30940900
CATEGORY - TOTAL NON-CHOCOLATE CANDY,92609180,374101300,1334237000
REGULAR GUM (NO SUGARLESS),7992973,26089030,120260500
SUGARLESS GUM,51271550,154795900,666208300
CATEGORY - GUM,59264520,180884900,786468800
