candy,4 Weeks Ending,12 Weeks Ending,52 Weeks Ending
TOTAL CANDY & GUM,418960200,1369479000,5329258000
CHOCOLATE CANDY BAR <3.5OZ,45844090,154708500,710860100
CHOCOLATE CANDY BOX/BAG/BAR=>3.5OZ,97279730,303492100,1317521000
CHOCOLATE CANDY SNACK SIZE,57720740,246307000,439157900
GIFT BOX CHOCOLATES,5686786,10048820,65788340
NOVELTY CHOCOLATE CANDY,79755.7,214777.6,710400.9
SEASONAL CHOCOLATE AO SEASONAL CANDY,241107.3,328857.6,3747523
SEASONAL CHOCOLATE CHRISTMAS CANDY,30548020,31524310,152947300
SEASONAL CHOCOLATE EASTER CANDY,25748.57,97089.77,228918400
SEASONAL CHOCOLATE HALLOWEEN CANDY,9665192,41543480,44083360
SEASONAL CHOCOLATE VALENTINE CANDY,62452.19,181658.8,104045300
SUGAR FREE CHOCOLATE CANDY,2386805,7318118,35661620
CATEGORY - TOTAL CHOCOLATE CANDY,249540400,795764800,3103441000
BREATH FRESHENER,10745770,33502090,140253300
CARAMEL/TAFFY APPLES/KITS/DIPS,7038889,39500540,60067380
HARD SUGAR CANDY/PKG & ROLL CANDY,10163530,34922940,125525400
LICORICE BOX/BAG,8046737,28495350,138775000
NON CHOCOLATE CHEWY CANDY,34523750,119848100,493021400
NOVELTY NON-CHOCOLATE CANDY,12993790,49149780,143529000
PLAIN MINTS,6055263,18053130,76928750
PLU - ALL BRANDS CANDY,406.2384,1712.657,1712.657
SEASONAL NON-CHOCOLATE AO SEASONL CANDY,23506.52,67808.26,1656078
SEASONAL NON-CHOCOLATE CHRISTMAS CANDY,6805964,7229753,41514540
SEASONAL NON-CHOCOLATE EASTER CANDY,116092.4,399887.1,57569640
SEASONAL NON-CHOCOLATE HALLOWEEN CANDY,8430736,42489420,44903000
SEASONAL NON-CHOCOLATE VALENTINE CANDY,34497.61,81676.66,26092130
SPECIALTY NUT/COCONUT CANDY,5750759,16497570,61208400
SUGAR FREE DIET CANDY,2115994,6597910,29970700
CATEGORY - TOTAL NON-CHOCOLATE CANDY,112845700,396837700,1441016000
REGULAR GUM (NO SUGARLESS),7617719,23989120,105414000
SUGARLESS GUM,48956330,152887000,679386800
CATEGORY - GUM,56574050,176876100,784800800
